entity_id,entity_type,display_name,query,context_json
company_a850aeab08b8527ae14d,company,10%,"""10%"" VivaTech exhibitor company France Food & Agriculture","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Seed - $1M - $5M"", ""source_id"": ""9e7dc0dd-a947-f111-8ef3-6045bd9548dc"", ""tags"": ""Food & Agriculture | Marketing & Advertising | Retail & E-commerce""}"
company_3061f90ef7b971dcc7f6,company,10-Chairs,"""10-Chairs"" VivaTech exhibitor company France Retail & E-commerce","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Bootstrapped - 0"", ""source_id"": ""1e8eb5e9-a947-f111-8ef3-6045bd9548dc"", ""tags"": ""Retail & E-commerce | Growth & Startup & Investment | Media & Entertainment & Creators Economy""}"
company_8fa5d642bd14d687a8aa,company,1telsa Cote d\'Ivoire,"""1telsa Cote d\'Ivoire"" VivaTech exhibitor company Cote d’Ivoire Sovereignty & GovTech","{""company_type"": ""startup"", ""country"": ""Cote d’Ivoire"", ""fundraising"": ""Pre-Seed - <$1M"", ""source_id"": ""5b8bb89a-844b-f111-8ef3-6045bd9548dc"", ""tags"": ""Sovereignty & GovTech | Fintech & Banking & Compliance | Mobility & Smart Cities""}"
company_03a96116560cb9a1b34a,company,21 | Croix-Rouge Française,"""21 | Croix-Rouge Française"" VivaTech exhibitor company France Healthcare & Wellness","{""company_type"": ""partner"", ""country"": ""France"", ""fundraising"": """", ""source_id"": ""413aea82-b653-f111-8fcb-6045bd954326"", ""tags"": ""Healthcare & Wellness | Diversity & Inclusion""}"
company_597b7d9847687a8d4471,company,2501.ai,"""2501.ai"" VivaTech exhibitor company France Industry & Supply Chain","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Pre-Seed - <$1M | Seed - $1M - $5M"", ""source_id"": ""a680bde3-a947-f111-8ef3-6045bd9548dc"", ""tags"": ""Industry & Supply Chain | Cloud & Infrastructure & Connectivity | Space & Aeronautics""}"
company_adf6cf79dfd4ff85a8a3,company,2be-Fficient,"""2be-Fficient"" VivaTech exhibitor company France Artificial Intelligence & Robotics","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""source_id"": ""2add899c-ba47-f111-8ef3-6045bd9548dc"", ""tags"": ""Artificial Intelligence & Robotics | Fintech & Banking & Compliance | Retail & E-commerce""}"
company_8fbf294a98ba40d5dcb8,company,33 Trucs,"""33 Trucs"" VivaTech exhibitor company France HR & EdTech & Future of Work","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Pre-Seed - <$1M"", ""source_id"": ""c37b10e3-564d-f111-8ef3-6045bd9548dc"", ""tags"": ""HR & EdTech & Future of Work | Growth & Startup & Investment | Industry & Supply Chain""}"
company_ffd3a99821ea65c9b7e7,company,365talents,"""365talents"" VivaTech exhibitor company France HR & EdTech & Future of Work","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": """", ""source_id"": ""d7f49553-8847-f111-8ef3-6045bd9548dc"", ""tags"": ""HR & EdTech & Future of Work""}"
company_58a736f6e3f09468af32,company,3d Healtech,"""3d Healtech"" VivaTech exhibitor company Serbia Healthcare & Wellness","{""company_type"": ""startup"", ""country"": ""Serbia"", ""fundraising"": ""Pre-Seed - <$1M"", ""source_id"": ""a90b6039-0064-f111-8fcb-6045bd954326"", ""tags"": ""Healthcare & Wellness""}"
company_2e30fb89aa8a15ddea19,company,3dev-Group / Carcul,"""3dev-Group / Carcul"" VivaTech exhibitor company Cote d’Ivoire Consulting & B2B services","{""company_type"": ""startup"", ""country"": ""Cote d’Ivoire"", ""fundraising"": ""Not yet - 0"", ""source_id"": ""5120e85e-8b42-f111-8ef2-6045bd954320"", ""tags"": ""Consulting & B2B services | Fintech & Banking & Compliance | Mobility & Smart Cities""}"
company_2cc617579bbe2e48b22e,company,3dvarius,"""3dvarius"" VivaTech exhibitor company France Artificial Intelligence & Robotics","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Bootstrapped - 0"", ""source_id"": ""13473953-c53c-f111-8ef2-6045bd954320"", ""tags"": ""Artificial Intelligence & Robotics | Energy & Greentech | Media & Entertainment & Creators Economy""}"
company_9ad160e7950dda2c5c52,company,3e Innovation,"""3e Innovation"" VivaTech exhibitor company France Diversity & Inclusion","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""source_id"": ""8d52805b-5e54-f111-8fcb-6045bd954326"", ""tags"": ""Diversity & Inclusion | Artificial Intelligence & Robotics | HR & EdTech & Future of Work""}"
company_b10b52bbf0f69cd33ec0,company,3rdcomply,"""3rdcomply"" VivaTech exhibitor company Netherlands Consulting & B2B services","{""company_type"": ""startup"", ""country"": ""Netherlands"", ""fundraising"": ""Bootstrapped - 0"", ""source_id"": ""229cd958-d855-f111-8fcb-6045bd954326"", ""tags"": ""Consulting & B2B services | Industry & Supply Chain | Cybersecurity & Defense""}"
company_2072b5ef12190368bc92,company,5C,"""5C"" VivaTech exhibitor company Canada","{""company_type"": ""startup"", ""country"": ""Canada"", ""fundraising"": """", ""source_id"": ""041a2003-6950-f111-8ef3-6045bd9548dc"", ""tags"": """"}"
company_bbd0db1269b94bc2632e,company,60fps,"""60fps"" VivaTech exhibitor company France Luxury & Fashion & Cosmetics","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": """", ""source_id"": ""afff6e37-9f5d-f111-8fcb-6045bd954326"", ""tags"": ""Luxury & Fashion & Cosmetics | Retail & E-commerce | Marketing & Advertising""}"
company_59d66c8ead928d46a336,company,63 Inc,"""63 Inc"" VivaTech exhibitor company Rwanda Consulting & B2B services","{""company_type"": ""startup"", ""country"": ""Rwanda"", ""fundraising"": ""Seed - $1M - $5M"", ""source_id"": ""f30ca5b2-d84d-f111-8ef3-6045bd9548dc"", ""tags"": ""Consulting & B2B services | Artificial Intelligence & Robotics | HR & EdTech & Future of Work""}"
company_8f02f09088e130fde0af,company,630° Est,"""630° Est"" VivaTech exhibitor company France Diversity & Inclusion","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": """", ""source_id"": ""3f570b2f-f24d-f111-8ef3-6045bd9548dc"", ""tags"": ""Diversity & Inclusion | Mobility & Smart Cities""}"
company_406e30cd84e7ac3b482e,company,8 Game Learn,"""8 Game Learn"" VivaTech exhibitor company France HR & EdTech & Future of Work","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""source_id"": ""e8dfdaca-f049-f111-8ef3-6045bd9548dc"", ""tags"": ""HR & EdTech & Future of Work | Healthcare & Wellness | Consulting & B2B services""}"
company_10bad68efff4dfe03872,company,[E-Security.bio],"""[E-Security.bio]"" VivaTech exhibitor company Portugal DeepTech","{""company_type"": ""startup"", ""country"": ""Portugal"", ""fundraising"": ""Bootstrapped - 0"", ""source_id"": ""dda050dd-f058-f111-8fcb-6045bd954326"", ""tags"": ""DeepTech | Sovereignty & GovTech | Cybersecurity & Defense""}"
